,Season,Team Name,Conference,Adjusted Temo,Adjusted Offensive Efficiency,Adjusted Defensive Efficiency,Avg Possession Length (Offense),Avg Possession Length (Defense),eFGPct,TOPct,ORPct,OffFT,DefFT,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,DFP,AvgHeight,CenterHeight,PFHeight,SFHeight,SGHeight,PGHeight,EffectiveHeight,Experience,Bench,CenterOR,PFOR,SFOR,SGOR,PGOR,CenterDR,PFDR,SFDR,SGDR,PGDR,Net Rating
4,2019,Virginia,Atlantic Coast Conference (ACC),59.4,123.4,89.2,21.0,18.8,0.551799610894942,0.14706672830282,0.303664921465969,16.3964627855564,16.3696060037523,60.6202,59.4019,116.554,123.403,91.78,89.1871,34.2156,0.525341914722446,0.39483394833948304,0.744147157190636,0.129904097646033,0.456843940714908,0.28891509433962304,0.666030534351145,0.082864038616251,3.82664022505467,77.2,1.27,1.09,1.29,0.26,-1.99,1.18,1.6,22.86,37.86,30.03,14.67,8.82,8.61,23.45,26.61,18.51,17.84,13.59,34.2
6,2021,Baylor,Big 12 Conference,67.4,125.0,91.1,17.0,17.6,0.565482502651113,0.165283317164313,0.372930866601753,14.2340168878166,18.1771894093686,69.2981,67.4416,119.106,124.994,94.4826,91.1275,33.867,0.5318416523235799,0.41298342541436495,0.708,0.102873030583874,0.48748841519925895,0.32859680284191806,0.694552529182879,0.105851979345955,3.82664022505467,76.66,0.09,-1.21,-1.2,-0.09,1.14,-0.56,2.01,28.57,33.47,39.18,15.0,7.14,5.21,30.09,27.69,14.23,16.34,11.65,33.900000000000006
7,2015,Wisconsin,Big Ten Conference (Big 10),58.7,129.0,95.2,21.8,18.3,0.5475180000000001,0.12366400000000001,0.32130899999999996,20.1379,14.3103,59.4998,58.675,121.133,128.952,97.5034,95.2324,33.7197,0.547925,0.364557,0.763399,0.08172499999999999,0.446589,0.375465,0.710021,0.063396,3.82664022505467,79.17,2.62,2.42,3.08,1.3,3.12,5.05,2.08,21.24,21.39,28.34,29.46,9.31,11.5,33.03,20.78,22.11,11.68,12.4,33.8
8,2018,Villanova,Big East Conference,68.7,127.8,94.0,17.9,16.6,0.595081967213115,0.150455126758444,0.29569892473118303,16.1420733468091,17.0644816530103,70.0051,68.7242,122.728,127.756,99.3109,94.0001,33.7563,0.589703588143526,0.400690846286701,0.778551532033426,0.10499027867789999,0.489954633830201,0.317016317016317,0.747269890795632,0.0819032761310452,4.04958727136242,77.33,-1.05,0.19,1.34,0.66,1.51,-0.43,1.33,25.88,38.82,27.17,19.54,9.99,4.45,29.62,19.16,19.99,17.28,13.94,33.8
9,2011,Ohio State,Big Ten Conference (Big 10),63.8,125.0,91.5,17.1,20.1,0.563137,0.157759,0.35653599999999996,18.7456,13.587,64.1577,63.7715,119.914,125.017,93.6825,91.5483,33.4687,0.52852,0.42284900000000003,0.7011799999999999,0.091261,0.468677,0.339678,0.737101,0.085921,4.04958727136242,77.66,0.2,-0.17,1.27,3.12,2.78,0.03,1.6,18.2,41.65,18.74,15.64,14.62,9.35,35.97,17.52,15.71,16.02,14.77,33.5
10,2010,Duke,Atlantic Coast Conference (ACC),64.7,121.0,87.7,18.2,17.7,0.50527,0.16416899999999998,0.403084,22.15,21.1152,66.7159,64.6642,115.06,121.003,91.5607,87.7166,33.2863,0.469811,0.38491,0.758621,0.09842000000000001,0.44046199999999996,0.282648,0.686667,0.09811299999999999,4.04958727136242,78.99,2.66,2.22,2.27,2.1,2.43,4.88,2.03,23.41,41.1,23.77,21.55,6.17,7.41,33.66,23.46,19.76,13.36,9.76,33.3
11,2013,Louisville,Atlantic Coast Conference (ACC),65.8,117.7,84.8,16.4,19.4,0.505432,0.18303899999999998,0.38228900000000005,21.8939,20.4168,66.5244,65.8158,110.494,117.68,86.9752,84.7632,32.9166,0.5080749999999999,0.332851,0.7086960000000001,0.120603,0.43359699999999995,0.317529,0.657534,0.081366,4.04958727136242,76.69,1.08,-0.14,0.95,-1.32,0.34,0.94,1.69,31.31,39.58,27.46,17.94,7.82,7.2,30.76,21.08,21.47,13.96,12.73,32.900000000000006
12,2019,Gonzaga,West Coast Conference (WCC),70.2,124.5,91.6,14.7,19.0,0.589772219740956,0.149182383983719,0.315338474721508,18.5630588960839,16.9583333333333,71.3801,70.1959,122.561,124.454,90.7724,91.5991,32.8547,0.614216701173223,0.36329113924050604,0.7610619469026549,0.138189244383935,0.43430905377808005,0.303684879288437,0.696917808219178,0.057971014492753596,11.555394803656,78.21,0.12,1.14,1.53,1.71,2.47,0.63,1.91,23.41,39.36,26.2,17.66,10.56,6.14,27.33,25.09,20.49,15.96,11.08,32.900000000000006
13,2005,North Carolina,Atlantic Coast Conference (ACC),73.1,122.5,89.7,14.7,19.0,0.560398,0.209913,0.397024,22.229,18.8462,75.9098,73.0627,116.124,122.468,93.1951,89.7003,32.7677,0.541004,0.403202,0.7254510000000001,0.098611,0.43680599999999997,0.340528,0.7111759999999999,0.10998100000000001,11.555394803656,78.21,0.12,1.14,1.53,1.71,2.47,0.63,1.91,23.41,39.36,26.2,17.66,10.56,6.14,27.33,25.09,20.49,15.96,11.08,32.8
14,2005,Illinois,Big Ten Conference (Big 10),64.1,122.3,89.6,14.7,19.0,0.559787,0.165842,0.346693,15.7895,17.2544,65.2545,64.0807,117.531,122.308,93.3893,89.6267,32.6813,0.541636,0.39224600000000004,0.728111,0.085239,0.44074800000000003,0.357911,0.6452119999999999,0.071687,11.555394803656,78.21,0.12,1.14,1.53,1.71,2.47,0.63,1.91,23.41,39.36,26.2,17.66,10.56,6.14,27.33,25.09,20.49,15.96,11.08,32.7
